,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
1512,14.6,12.3333333333,13.6666666667,13.75,13.4285714286,,306522
1513,0.0,0.0,0.0,11.5,0.0,,306561
1514,0.0,0.0,0.0,13.5,0.0,,306636
1515,0.0,0.0,12.1111111111,14.5,13.0,,306645
1516,0.0,13.0,0.0,14.0,10.0,,306659
1517,14.1,12.6666666667,13.0,12.5,12.8571428571,,306664
1518,12.2,0.0,0.0,12.75,11.4285714286,,306712
1519,16.1,15.0,14.7777777778,13.25,14.8571428571,16.3333333333,306966
1520,15.9,14.6666666667,13.8888888889,13.5,14.2857142857,,307090
1521,,,,,0.0,,307097
1522,0.0,0.0,0.0,12.5,12.0,,307216
1523,0.0,0.0,0.0,12.0,11.0,,307227
1524,12.2,0.0,11.7777777778,14.25,13.4285714286,11.875,307259
1525,0.0,0.0,0.0,12.0,15.0,,307266
1526,0.0,0.0,0.0,12.5,11.2857142857,,307342
1527,0.0,0.0,0.0,13.0,12.1428571429,,307382
1528,13.5,10.3333333333,13.6666666667,12.5,0.0,,307403
1529,0.0,0.0,0.0,14.0,0.0,13.875,307488
1530,0.0,10.6666666667,12.4444444444,13.25,11.4285714286,14.0,307585
1531,0.0,11.0,0.0,12.0,11.4,,307623
1532,0.0,,0.0,11.0,12.0,,307632
1533,13.8,13.3333333333,0.0,16.0,14.2857142857,,307641
1534,14.4,13.3333333333,14.1111111111,14.75,16.1428571429,,307648
1535,0.0,11.6666666667,0.0,11.75,0.0,,307906
1536,13.7,13.3333333333,14.3333333333,15.25,14.0,,307910
1537,0.0,0.0,0.0,10.5,0.0,,307921
1538,13.3,11.6666666667,12.7777777778,13.25,12.1428571429,,307986
1539,16.8,16.6666666667,17.2222222222,14.5,14.8571428571,,307991
1540,0.0,0.0,0.0,0.0,10.0,,308102
1541,0.0,10.0,0.0,11.5,0.0,,308184
1542,0.0,0.0,0.0,0.0,11.0,,308189
1543,0.0,10.3333333333,11.0,14.25,13.0,13.0,308203
1544,0.0,11.3333333333,0.0,13.25,0.0,,308206
1545,0.0,0.0,0.0,0.0,0.0,,308296
